Date,Company
2008-01,GHC
2008-01,MDP
2008-01,GAS
2008-01,AZO
2008-01,MIL
2008-01,MXA
2008-01,ASH
2008-01,SNA
2008-01,R
2008-01,RL
2008-01,DDS
2008-01,HAR
2008-01,BDK
2008-01,GWW
2008-01,ICE
2008-01,SHLD
2008-01,MTZ
2008-01,OMX
2008-01,TEG
2008-01,KBH
2008-01,WHR
2008-01,AVB
2008-01,MTG
2008-01,IFF
2008-01,SWK
2008-01,EMN
2008-01,JNY
2008-01,CIEN
2008-01,ANF
2008-01,BFB
2008-01,TIE
2008-01,FII
2008-01,BC
2008-01,WEN
2008-01,VFC
2008-01,FLR
2008-01,SSP
2008-01,TMK
2008-01,LXK
2008-01,SAF
2008-01,BIG
2008-01,AIZ
2008-01,AIV
2008-01,PNW
2008-01,ACS
2008-01,WAT
2008-01,ABKFQ
2008-01,BLL
2008-01,FNP
2008-01,BCR
2008-01,ATI
2008-01,TEX
2008-01,BMS
2008-01,WPI
2008-01,SHW
2008-01,AVY
2008-01,BRL
2008-01,ZION
2008-01,VMC
2008-01,CTL
2008-01,RDC
2008-01,HPC
2008-01,EL
2008-01,BSC
2008-01,LH
2008-01,NVLS
2008-01,USX
2008-01,SUN
2008-01,BXP
2008-01,PKI
2008-01,JEC
2008-01,CTX
2008-01,PLL
2008-01,DDR
2008-01,PSA
2008-01,GR
2008-01,LLL
2008-01,VAR
2008-01,MBI
2008-01,FHN
2008-01,ROH
2008-01,MKC
2008-01,MWW
2008-01,MTW
2008-01,PTV
2008-01,SIAL
2008-01,EFX
2008-01,DF
2008-01,CVG
2008-01,VNO
2008-01,LM
2008-01,CTAS
2008-01,RSHCQ
2008-01,TIF
2008-01,TAP
2008-01,TSO
2008-01,QLG
2008-01,APOL
2008-01,PCP
2008-01,AN
2008-01,CLX
2008-01,LEN
2008-01,PBG
2008-01,WFM
2008-01,PDCO
2008-01,DRI
2008-01,MOLX
2008-01,FDO
2008-01,NYT
2008-01,ESV
2008-01,ETN
2008-01,HAS
2008-01,RRC
2008-01,ROK
2008-01,CMA
2008-01,FO
2008-01,EQ
2008-01,JNS
2008-01,CVH
2008-01,DGX
2008-01,UST
2008-01,HSP
2008-01,GME
2008-01,SEE
2008-01,BEN
2008-01,RHI
2008-01,COL
2008-01,PPG
2008-01,DTE
2008-01,FISV
2008-01,AKAM
2008-01,AYE
2008-01,CCTYQ
2008-01,CINF
2008-01,HSY
2008-01,PH
2008-01,LUK
2008-01,ABC
2008-01,GPC
2008-01,HUM
2008-01,ABI
2008-01,FIS
2008-01,CHRW
2008-01,RAI
2008-01,NBL
2008-01,TT
2008-01,STR
2008-01,CSC
2008-01,PCL
2008-01,LEG
2008-01,ECL
2008-01,WYN
2008-01,XL
2008-01,TER
2008-01,TDC
2008-01,CEG
2008-01,CBE
2008-01,ITT
2008-01,CNX
2008-01,KLAC
2008-01,MWV
2008-01,IAC
2008-01,MUR
2008-01,CTXS
2008-01,JWN
2008-01,CITGQ
